Status,Route,Methods,Prisma Models,Services,Frontend Callers,Caller Files
ORPHAN,"/api/attachments/[id]","GET|DELETE","","attachment",0,""
ORPHAN,"/api/attachments/delete/[id]","DELETE","","attachment",0,""
ORPHAN,"/api/attachments/download/[id]","GET","","attachment",0,""
ORPHAN,"/api/collection","GET|PATCH","collectedItem|taskInstance|user","",0,""
ORPHAN,"/api/collection/preview/[id]","GET","collectedItem","",0,""
ORPHAN,"/api/contacts/sync","POST","","email-connection|entity|group",0,""
ORPHAN,"/api/email-drafts/[id]","GET|PATCH","","email-draft",0,""
ORPHAN,"/api/email-drafts/[id]/send","POST","user|emailDraft","email-draft|email-sending|entity|personalization-data|recipient-filter",0,""
ORPHAN,"/api/email-drafts/generate","POST","user","email-draft|ai-email-generation|recipient-filter",0,""
ORPHAN,"/api/internal/ai-metrics/agreement","GET","aIRecommendation","",0,""
ORPHAN,"/api/quests/[id]","GET|PATCH","","quest",0,""
ORPHAN,"/api/quests/[id]/generate","POST","","quest",0,""
ORPHAN,"/api/quests/context","GET","","quest-interpreter",0,""
ORPHAN,"/api/quests/interpret","GET|POST","","quest-interpreter",0,""
ORPHAN,"/api/quests/standing","POST","","quest",0,""
ORPHAN,"/api/recipients/search","GET","entity","group|entity|domain-detection",0,""
ORPHAN,"/api/requests/detail","GET","taskInstance|request|message","risk-computation",0,""
ORPHAN,"/api/requests/detail/[id]/mark-read","POST","request|message","",0,""
ORPHAN,"/api/requests/detail/[id]/reminder-draft","GET|POST","request|user","",0,""
ORPHAN,"/api/requests/detail/[id]/reminders","GET|DELETE","request|reminderState","",0,""
ORPHAN,"/api/requests/detail/[id]/risk","PUT","request","",0,""
ORPHAN,"/api/task-instances/[id]/attachments","GET|POST","taskInstance","attachment",0,""
ORPHAN,"/api/task-instances/[id]/collection/bulk","POST","taskInstance|collectedItem","evidence",0,""
ORPHAN,"/api/task-instances/[id]/collection/download","GET","taskInstance","evidence|storage",0,""
ORPHAN,"/api/task-instances/[id]/collection/export","GET","taskInstance","evidence",0,""
ORPHAN,"/api/task-instances/[id]/labels/[labelId]","GET|PATCH|DELETE","taskInstance","task-instance-label",0,""
ORPHAN,"/api/task-instances/[id]/request/dataset/preview","GET|POST","emailDraft|personalizationData","task-instance",0,""
ORPHAN,"/api/task-instances/[id]/table/cell","PATCH","taskInstance","table-task|task-instance",0,""
ORPHAN,"/api/task-instances/[id]/table/compare","GET","taskInstance","table-task",0,""
ORPHAN,"/api/task-instances/[id]/table/rows","GET","taskInstance","table-task",0,""
ORPHAN,"/api/task-instances/[id]/table/signoff","GET|POST|DELETE","taskInstance","table-task",0,""
